,0
80,#대전하나시티즌 #시즌권판매@daejeon_hana 🎫2023 1Q PASS(시즌권) 판매 안내✔판매기간: 1/11(수) 11:00 ~ 홈개막전 2주전✔판매처: 하나은행 모바일 앱 ‘하나원큐’✔구성품: 소장용카드+MD 상품권*구성품 이미지는 판매일 공개됩니다. 🎁 시즌권 혜택✔당일권 대비 40% 이상 할인혜택✔사전 예매 권한 제공✔경기당 예매 수수료 무료팬 여러분들의 많은 관심 부탁드립니다💗
81,#하나TV #오프더오피스 #여행브이로그⠀벌써 2023년? 새해에 다녀오기 좋은 국내여행지강릉 VS 광주⠀@___ 요기 가보쟈!!⠀👀하나 핫튜버가 소개하는강릉과 광주 핫플을 보고싶다면?⠀하나은행 현지 직원이 소개하는 꿀정보!프로필 링크 또는 아래 링크에서 확인해 보세요!👉 youtu.be/dezbY0vsB3E⠀#함께성장하며_행복을나누는금융 #하나금융그룹#하나은행 #하나핫튜버 #직장인브이로그 #강릉핫플 #광주핫플 #국내여행지 #브이로그
82,"#하나금융그룹 #유튜브 #구독이벤트⠀풍성한 볼거리와 꿀정보가 가득한<하나금융그룹 유튜브> 아직 구독 안했다면? 👀지금 바로 구독하고 선물 받아가자 🎁🙌⠀✔ 이벤트 참여 방법1. 하나금융그룹 유튜브 채널 '구독'을 누른다2. '구독' 인증샷을 하나금융그룹 인스타그램 DM으로 전송3. 본 게시물 댓글에 '구독 완료 + 하나TV응원'을 남기면 끝!<하나금융그룹 유튜브> 하나TV 바로 가기 📺👉 https://bit.ly/3vUC5HT⠀✔ 이벤트 기간2023. 1. 4(수) ~ 1. 15(일)​⠀✔ 경품- 교촌치킨 허니콤보웨지감자세트 (5명 추첨)​⠀✔ 당첨자발표2023. 1. 18(수) | 댓글 및 개별 DM​​⠀※ 경품은 사전 공지 없이 변경될 수 있습니다.※ 당첨자의 DM 차단으로 메시지 발신이 안될 경우 당첨에서 제외될 수 있습니다.※ 동일인이 여러 계정으로 중복 당첨된 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다.​⠀#하나금융그룹 #유튜브 #이벤트 #EVENT#하나TV구독하고_선물받자"
83,"Good Bye 2022,Hello 2023 🙌⠀2022년 한 해 동안 하나금융그룹을 사랑해주신 여러분, 감사합니다!⠀2023년에도 우리 그 사랑 변치 않기로 해요~😘꼭이요~!!!!❤🍀 ⠀#함께성장하며_행복을나누는금융 #하나금융그룹#하나은행 #하나원큐 #연말 #2022년 #2023년 #연초 #연말인사"
84,"#겨울방학맞이 #어린이경제뮤지컬 #재크의요술지갑⠀우리 아이의 올바른 경제 습관 키우기로고민중이었다면? 👀⠀요술지갑을 갖게 된 재크와 함께 떠나는신비한 머니랜드로의 여행~ 💸하나은행 어린이 경제 뮤지컬 ‘재크의 요술지갑’으로 초대합니다!!! 🥳⠀✅ 대상 - 전국 유치원 및 초등학생 (6-13세),   보호자 1인 동반 *어린이+보호자 총 400분 초청✅ 일시 - 2023. 1. 6(금) 11시 / 13시 - 2023. 1. 7(토) 11시 / 13시 (총 4회, 공연시간 60분)✅ 장소 - 2호선 홍대입구역 에이치펄스 지하2층 공연장 (서울 마포구 와우산로 97)✅ 신청기간 - 2022. 12. 23(금) ~ 2023. 1. 4(수) *마감 시 조기 종료​ ✅ 신청방법 - 하나원큐 앱 실행 > 이벤트 > 어린이경제뮤지컬  신청서 작성  👉https://bit.ly/3FT2xWy⠀조기마감 될 수 있으니 서둘러주세요!​😚⠀#겨울방학특집 #하나은행 #어린이뮤지컬 #하나원큐 #홍대가볼만한곳 #에이치펄스 #뮤지컬"
85,"송년회, 망년회 등등1년 중 약속이 가~장 많은시기인 12월 ⛄❄⠀MBTI에 따라 연말 약속에 대처하는 유형도 달라진다고?! 👀⠀쉴 틈 없는 인싸형 E집이 최고인 집콕형 I​​⠀MBTI별 반응 알려줘 🤗@@INFP 집에만 있고 싶다..😴​​⠀#함께성장하며_행복을나누는금융 #하나금융그룹#MBTI #MBTI유형 #인싸형 #집콕형 #연말보내기 #연말 #연말룩"
86,"#팔로우이벤트​​⠀연말 맞이 선물처럼 찾아온하나금융그룹 인스타그램 팔로우 이벤트!​팔로우 하면 올 연말 따뜻할 거예요>.<❤️​⠀[🎁 #EVENT]​🎄 참여방법​하나금융그룹(@hanafn.official) 팔로우 하고​댓글에 “팔로우 완료!” 남기면 이벤트 참여 완료​(본 게시물 좋아요 필수!)​✔ 기간: 2022년 12월 21일(수) ​ ~12월 28일(수)​✔ 경품: 스타벅스 오늘도 달콤하게 세트 (10명)​✔ 발표: 2022년 12월 29일(목) | 개별DM & 본 게시물 댓글 발표​​⠀※ 경품은 사전 공지 없이 변경될 수 있습니다.​※ 당첨자의 DM 차단으로 메시지 발신이 안될 경우 당첨에서 제외될 수 있습니다. ​※ 동일인이 여러 계정으로 중복 당첨된 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다. ​​⠀#함께성장하며_행복을나누는금융 #하나금융그룹 #인스타그램팔로우 #연말이벤트 #팔로우 #이벤트"
87,"#하나금융그룹 #하나아트버스 #발달장애예술인 #미술공모전⠀발달장애 예술가들과 함께하는 미술공모전 🎨하나아트버스🎨⠀두 번째 공모전이 시작됩니다!⠀아동, 청소년 성인 발달장애인이라면 누구나자유 또는 자연, 환경, 그린, 공유 키워드에 맞춰회화 또는 디지털로 자유롭게 표현해 주세요 👩‍🎨👨‍🎨⠀각 부문별 10점을 선정, 상금(총 상금 1500만원)과전시 및 인턴십(스프링샤인) 제공, NFT 제작까지!다양한 수상 혜택을 제공합니다!⠀✅ 신청기간: 2022.12.19(월) ~ 2023.2.19(일)✅ 참가대상: 아동, 청소년, 성인 발달장애인 - 장애인복지법 제 32조와 동법 시행령 제 2조  규정에 의한 지적장애인 또는 자폐성 장애인 * 증빙서류(복지카드 사본) 제출 필수✅ 결과발표: 2023.3.20(월) | 스프링샤인 홈페이지 공지사항⠀👉 공모전 상세보기: https://springshine.co.kr/⠀───────────────#공유EVENT발달장애 예술가들이 숨겨진 재능을 발휘할 수 있는기회!!하나아트버스 공모전을 널리 알려주세요! 추첨하여 선물을 드립니다!⠀🔸참여방법:   1. 본 게시물을 개인 계정에 리그램한다. (전체공개 필수) 2. 아래 댓글에 @친구 태그하여   공모전 소식을 알려준다.🔸이벤트기간: 2022.12.19(월) ~ 2022.12. 29(목)🔸당첨자발표: 2022.12.30(금) | 본 게시물 댓글 & 개인DM🔸당첨경품: 교촌치킨 오리지널웨지감자세트(10명)⠀#하나금융그룹 #하나아트버스 #스프링샤인 #NFT#미술공모전 #ESG #발달장애인_미술공모전 #발달장애인 #이벤트 #EVENT"
88,"코로나19로 지친 소상공인을 응원하며2022년 '골목기행'이 찾아간23곳의 가게들! 🏚⠀그리고 그곳에서 만난사장님의 진솔한 이야기까지!⠀하나TV와 함께한 소상공인 응원 프로젝트🥄골목기행 시즌2🏃‍♀⠀2022년 소개한 다양한 맛집들 중!!한국인의 소울푸드 돈까스, 곱창, 덮밥맛집들을 모아봤습니다! ⠀언제나 밝게 힘내는 대한민국 소상공인들을하나금융그룹이 응원합니다! 💚⠀👉https://bit.ly/3uUuHvi(프로필 링크 클릭!)⠀#하나금융그룹 #골목기행2 #소상공인응원#맛집소개 #골목맛집 #소울푸드"
89,"#하나금융그룹 #DJSI월드지수편입 #EVENT⠀하나금융그룹,2022 다우존스 지속가능경영지수🎖은행산업부문평가 세계 1위 달성!!🎖⠀DJSI는 세계적으로 가장 권위 있는 ESG 평가 지수 중 하나로, 경제적 성과뿐만 아니라 환경, 사회 등 기업의 ESG 경영 성과를 종합적으로 평가하고 있는데요!⠀하나금융그룹은 전 세계 483개 은행 중가장 높은 점수인 87점을 받아 세계 1위 달성과 함께DJSI 최고 등급인 DJSI 월드지수에도 편입됐습니다.⠀앞으로도 하나금융그룹은 더욱 적극적이고진정성 있는 ESG 활동을 통해 글로벌 ESG경영을 선도해 나가겠습니다.🌍⠀#축하EVENT하나금융그룹의 ESG평가""은행산업부문 세계 1위 달성""과""DJSI 월드지수 편입""을본 게시물 댓글로 축하해주세요.추첨하여 선물을 드립니다! 🎁⠀* 기간: 2022. 12. 13(화) ~ 12. 20(화)* 발표: 2022. 12. 23(금) * 경품: CU모바일금액권 1만원권 (추첨 10명)⚠️ 게시물 좋아요 필수!⚠️ @친구 태그해서 소문내면 당첨확률 up!⠀※ 당첨자의 DM 차단으로 메시지 발신이 안될 경우 당첨에서 제외될 수 있습니다. ※ 동일인이 여러 계정으로 중복 당첨된 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다. ※ 경품은 사전 공지없이 변경될 수 있습니다.⠀#하나금융그룹 #DJSI #월드지수편입 #ESG #ESG경영 #ESG평가지수 #다우존스지속가능경영지수 #하나은행 #이벤트"
90,사회문제와 부족한 일자리 문제를동시에 해결할 방법 없을까? 🙄⠀그 고민에서 시작된<하나 소셜벤처 유니버시티><하나 소셜벤처 유니버시티>는거점 대학과 연계하여 청년 창업가를 육성하는창업·취업 지원 프로그램입니다.⠀지난 8주 간의 교육을 마친 우수팀의아이디어를 공유하는 자리를 가졌는데요.그 현장 속으로 지금 바로 출발해 볼까요? 🏃‍♀️🏃‍♂️⠀#하나금융그룹 #하나파워온 #하나파워온챌린지 #하나소셜벤처유니버시티 #ESG #사회가치 #지속가능 #사회혁신기업육성 #소셜벤처유니버시티 #소셜벤처 #일자리창출
91,"🏆세계 3대 광고제, 클리오 스포츠 어워즈 금상 🏆하나금융그룹과 한국프로축구연맹, 사회복지공동모금회가 공동 제작한<모두의 드리블>캠페인 영상이클리오 스포츠 어워즈에서 금상을 수상했습니다!<모두의 드리블>은하나금융과 K리그가 2020년부터 진행한K리그의 이동 약자에 대한 접근 환경 개선 사업인'모두의 축구장, 모두의 K리그' 캠페인 사업 중 하나인데요! ⚽팬들이 직접 이동 약자를 위한 안내지도 제작에 참여해더욱 의미가 깊었습니다.사회적 약자에 대한 공감대를 확산시키는모두가 하나 되는 K리그 경기장,하나금융그룹과 K리그가 만들어 갑니다.#EVENT축구 경기를 함께 응원하는 즐거움을 모두가 느낄 수 있도록! 이동약자에 대한 사회적 관심이 확대될 수 있도록!여러분도 함께 응원해주세요~✅ 참여방법(※ 본 게시물 좋아요 + 전체공개 리그램 필수!!) 1. 클리오 스포츠 어워즈 금상 수상 축하와 함께2. 캠페인이 더욱 확산될 수 있도록 댓글에  @친구를 태그해서 캠페인을 알려주세요! 👉https://youtu.be/emjP21zfsfU (프로필 링크 클릭)✅ 기간: 2022. 12. 12(월) ~ 2022. 12. 18(일)✅ 발표: 2022. 12. 21(수) | 본 게시물 댓글&DM✅ 경품: 교촌오리지널웨지감자세트 (10명)─────────────────────🎥 클리오 어워즈(Clio Awards)칸 국제광고제 및 뉴욕 페스티벌과 함께국제광고협회(IAA)가 선정한 세계 3대 광고제로,2014년부터 스포츠부문을 신설해 스포츠문화 발전에 기여한 작품을 선정해 시상하고 있습니다.─────────────────────#하나금융그룹 #한국프로축구연맹 #하나은행 #클리오어워즈#사회복지공동모금회 #모두의드리블 #모두의축구장#이동약자환경개선사업 #K리그캠페인 #이벤트"
92,"오늘은 무슨 날?! 👀바로 일년 중 눈이 가~장많이 내린다는 대설 ☃❄⠀밖을 거닐며 거리를구경하는 것도 좋지만,감기 들지 않게 건강 조심하기로별돌이와 약~속 🤙⠀#하나금융그룹 #하나은행 #하나원큐 #대설#눈 #snow #눈사람 #눈눈눈"
93,"#소상공인힘내세요 #하나파워온스토어 #하나금융그룹⠀소상공인이 일상을 회복하고다시 마음껏 웃을 수 있도록!여러분도 함께 ""파워온!"" 해주세요! 😊⠀하나금융그룹은'하나파워온 스토어' 캠페인을 통해코로나19로 어려움을 겪는 소상공인들에게- 상생지원금- 소상공인을 위한 홍보영상 제작 - 마케팅 지원을 위한 1:1 맞춤 컨설팅- 사업장 환경 개선 등의 지원을 하고 있습니다.⠀여러분이 함께 마음을 전하고 싶은'하나파워온 스토어'를 방문해사장님을 응원하고, 착한 소비로 힘을 주세요! 🙌⠀하나파워온스토어 만나보기👉 https://bit.ly/3gTWU2a (프로필링크 클릭)⠀#하나파워온 #하나파워온케어 #지역경제활성화#사회가치창출 #ESG #지속가능 #소상공인지원 #골목상권리프레시"
94,#하나은행X디에디트 #콜라보달력 #2023리치캘린더⠀어느새부터 달력이 안 예뻐... 그래서 만들었다😎❗ 리치캘린더 2023 📆​​⠀하나은행 x The Edit 콜라보로 탄생한특별한 선물! 딱 1분만 투자하고여러분을 부자로 만들어줄 힙한 한정판 신상 달력 받아가세요! 🙌​​✨하나은행 x The Edit 콜라보 리치캘린더 증정 #EVENT✨✔기간: 2022. 12. 2(금) ~ 12. 31(토)✔대상: 하나원큐 앱에서 이벤트에 참여한 누구나!✔신청방법: 하나원큐 앱 > 이벤트 페이지에서 신청 * 매일 13:00 수량 오픈 * 12월 31일까지 매일 3천부 한정 배포 🚩 달력 무료! 배송비도 무료!👉상세보기: https://bit.ly/3VBQzXE (프로필링크 클릭!)​#오픈런부르는_달력등장 #하나은행 #theEdit#머니사이드업 #리치캘린더 #리치캘린더2023#2023달력 #2023캘린더 #달력 #캘린더 #calendar───────────────※ 하나원큐 앱은 회원가입 후 이용 가능합니다.(하나은행 계좌가 없어도 일반회원 가입 후 이용 가능)※ 본 이벤트는 하나원큐 앱의 이벤트 페이지에서 참여하실 수 있습니다.※ 본 홍보물은 법령 및 내부통제기준에 따른 절차를 거쳐 제공됩니다.※ 본 홍보물은 2022년 12월 31일까지 유효합니다.※ 준법감시인 심의필 제2022-광고08703호(2022.12.01) / CC브랜드221130-0293
95,#하나은행X디에디트 #콜라보달력 #2023리치캘린더⠀어느새부터 달력이 안 예뻐... 그래서 만들었다😎❗ 리치캘린더 2023 📆​​⠀하나은행 x The Edit 콜라보로 탄생한특별한 선물! 딱 1분만 투자하고여러분을 부자로 만들어줄 힙한 한정판 신상 달력 받아가세요! 🙌​​✨하나은행 x The Edit 콜라보 리치캘린더 증정 #EVENT✨✔기간: 2022. 12. 2(금) ~ 12. 31(토)✔대상: 하나원큐 앱에서 이벤트에 참여한 누구나!✔신청방법: 하나원큐 앱 > 이벤트 페이지에서 신청 * 매일 13:00 수량 오픈 * 12월 31일까지 매일 3천부 한정 배포 🚩 달력 무료! 배송비도 무료!👉상세보기: https://bit.ly/3VBQzXE (프로필링크 클릭!)​#오픈런부르는_달력등장 #하나은행 #theEdit#머니사이드업 #리치캘린더 #리치캘린더2023#2023달력 #2023캘린더 #달력 #캘린더 #calendar───────────────※ 하나원큐 앱은 회원가입 후 이용 가능합니다.(하나은행 계좌가 없어도 일반회원 가입 후 이용 가능)※ 본 이벤트는 하나원큐 앱의 이벤트 페이지에서 참여하실 수 있습니다.※ 본 홍보물은 법령 및 내부통제기준에 따른 절차를 거쳐 제공됩니다.※ 본 홍보물은 2022년 12월 31일까지 유효합니다.※ 준법감시인 심의필 제2022-광고08704호(2022.12.01) / CC브랜드221130-0293
96,#하나은행X디에디트 #콜라보달력 #2023리치캘린더⠀어느새부터 달력이 안 예뻐... 그래서 만들었다😎❗ 리치캘린더 2023 📆​​⠀하나은행 x The Edit 콜라보로 탄생한특별한 선물! 딱 1분만 투자하고여러분을 부자로 만들어줄 힙한 한정판 신상 달력 받아가세요! 🙌​​✨하나은행 x The Edit 콜라보 리치캘린더 증정 #EVENT✨✔기간: 2022. 12. 2(금) ~ 12. 31(토)✔대상: 하나원큐 앱에서 이벤트에 참여한 누구나!✔신청방법: 하나원큐 앱 > 이벤트 페이지에서 신청 * 매일 13:00 수량 오픈 * 12월 31일까지 매일 3천부 한정 배포 🚩 달력 무료! 배송비도 무료!👉상세보기: https://bit.ly/3VBQzXE (프로필링크 클릭!)​#오픈런부르는_달력등장 #하나은행 #theEdit#머니사이드업 #리치캘린더 #리치캘린더2023#2023달력 #2023캘린더 #달력 #캘린더 #calendar───────────────※ 하나원큐 앱은 회원가입 후 이용 가능합니다.(하나은행 계좌가 없어도 일반회원 가입 후 이용 가능)※ 본 이벤트는 하나원큐 앱의 이벤트 페이지에서 참여하실 수 있습니다.※ 본 홍보물은 법령 및 내부통제기준에 따른 절차를 거쳐 제공됩니다.※ 본 홍보물은 2022년 12월 31일까지 유효합니다.※ 준법감시인 심의필 제2022-광고08705호(2022.12.01) / CC브랜드221130-0293
97,#하나TV #하나핫튜버 #오프더오피스 ⠀쌀쌀해지는 날씨 🍂🌙분위기있게 캠핑 떠나기 좋은 요즘⠀'하나 핫튜버'가 알려주는캠핑 꿀팁과 함께 떠나보면 어떨까요? 🏕⠀갬성부터 맛까지 모두 잡은내공 가득 하나 핫튜버의 꿀팁 가득한 캠핑을지금 바로 하나TV에서 만나보세요! 😎(프로필 오프더오피스 EP8. 링크 클릭!)⠀@___ 캠핑 가보자고~! 🙌⠀#하나금융그룹 #은행원브이로그 #캠핑브이로그 #하나은행 #브이로그 #캠핑 #가을캠핑 #캠핑꿀팁 #캠핑요리
98,"#하나금융그룹 #유튜브 #구독이벤트⠀재밌고 알찬 꿀정보 모두 담은⠀하나금융그룹 유튜브 '하나TV' 구독하고선물 받아가세요! 😊🎁⠀✔ 이벤트 참여 방법1. 하나금융그룹 유튜브 채널 '구독'을 누른다2. '구독' 인증샷을 하나금융그룹 인스타그램 DM으로 전송3. 본 게시물 댓글에 '구독 완료 + 하나TV응원'을 남기면 끝!⠀✔ 이벤트 기간2022. 11. 25(금) ~ 12. 4(일)​⠀✔ 경품- 교촌치킨 허니콤보웨지감자세트 (5명 추첨)​⠀✔ 당첨자발표2022. 12. 6(화) | 개별 DM으로 안내​​⠀※ 경품은 사전 공지없이 변경될 수 있습니다.⠀※ 당첨자 안내 후, 당첨자의 미회신으로 수령정보 확인이 어려울 경우 당첨에서 제외될 수 있습니다.※ 동일인이 여러 계정으로 중복 당첨이 확인될 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다.​⠀#하나금융그룹 #유튜브 #이벤트 #EVENT#하나TV구독하고_선물받자"
99,"#리디아고 #LPGA #CME그룹투어챔피언십 #우승⠀⛳️하나금융그룹 소속 '리디아 고' 프로⛳️ ⠀LPGA 투어 시즌 최종전<CME 그룹 투어 챔피언십> 우승! 🏆⠀LPGA 투어 2022 시즌 3승! 통산 19승에,🏆 올해의 선수상🏆 CME Globe 포인트 1위🏆 Vare Trophy (최저 타수상)🏆올해의 LPGA 투어 상금왕이라는 멋진 기록을 세우며올 한해 유종의 미를 거둔 리디아 고!⠀댓글로 리디아 고 프로의 우승을 축하하며 함께 기쁨을 만끽해 주세요! 🥳⠀@lydsko 리디아 고, 우승을 축하합니다!⠀#리디아고우승 #LydiaKo #LPG투어시즌최종전#CME그룹투어챔피언십 #골프#골프메이저대회 #하나금융그룹"
100,"#김치의날 #모두하나데이 #사랑의김장나눔⠀김치, 어디까지 먹어봤니? 👀🔎⠀11월 22일이 김치의 날이래!김장 시즌인 요즘,고수김치부터 토마토김치까지!⠀Q. 내가 도전해보고 싶은 이색 김치 원픽은?!🌿🍅(댓글에 남겨보자!)⠀여기서 잠깐! 😍☝️⠀하나금융그룹은 매년 11월 11일 모두하나데이에사랑의 김장나눔 봉사를 진행하고 있는데요.⠀어려운 이웃들의 추운 겨울 먹거리 걱정을덜어드리고 싶은 마음을 담아 임직원이 김장 김치를 만들었습니다.그 훈훈한 현장은 프로필을 클릭해서 만나보세요💖⠀이번 겨울, 이색 김치뿐만 아니라다양한 나눔활동에도 관심을 가져보시면 어떨까요? 💌⠀#하나금융그룹 #하나은행 #김장 #김치 #김장나눔#ESG #나눔 #기부 #기부캠페인 #캠페인"
101,"#아동폭력근절캠페인 #ENDviolence⠀안녕하세요. 하나은행 박성호 은행장입니다.​아동폭력근절 캠페인(END Violence)에 KB국민은행 이재근 은행장님에 이어 동참하게 되었습니다.​전세계 아동, 청소년 폭력 근절을 위한글로벌 캠페인 참여를 통해하나은행은 미래 대한민국을 이끌어 나갈아동, 청소년들이 폭력 없는 안전하고행복한 세상에서 살아갈 수 있도록 노력하겠습니다.​""Take Action. Stop Violence""폭력을 멈추게 하는 것은 바로 우리의 관심입니다!어떤 종류의 폭력도 허락되어서는 안됩니다.아동, 청소년들의 안전하고, 행복한 삶을 위해저를 비롯한 하나은행 모든 임직원과 가족들이 항상 관심을 기울이며 함께 하겠습니다.⠀#ENDviolence 챌린지에 동참하실 다음 참가자로는NH농협은행 권준학 행장님을 추천합니다.아이들을 위해 동참해 주실 것으로 기대합니다.감사합니다.​___________________________[#함께해요]아이들이 안전하고 행복하게 성장할 수 있도록지금 바로 'ENDviolence 챌린지'에 동참해주세요!우리의 작은 관심이 모여 세상을 변화시킵니다.​❤참여방법 1. ENDviolence 이미지와 함께 사진 촬영하기 ​ ​ ​ (이미지 다운로드는 '프로필 링크' 클릭) 2. 개인 인스타그램 계정에 아래의 해시태그와 함께 ​ ​ ​ ​ 업로드 하기(전체공개 필수!) ​ ​ ​ 📌필수해시태그👇 ​ ​ ​ #아동폭력근절캠페인 #ENDviolence #하나은행 3. 본 게시물 댓글에 챌린지를 이어갈 친구 지목하기​* 본 게시물을 통해 참여하신 분들 중 추첨, 선물 증정✔ 기간: 2022. 11. 17(목) ~ 11.24(목)✔ 발표: 2022. 11. 29(화) 예정 | 본 게시물 댓글✔ 경품: 스타벅스 카페 아메리카노 (10명 추첨)​#아이들을_지켜주세요 #ENDviolence챌린지#하나은행 #행복한금융 #하나금융그룹 #이벤트 #EVENT"
102,⠀이제 이틀 앞으로 다가온 '2023 대학수학능력 시험' ✍그동안 고생한 수험생분들을 위해(또는 본인에게)!응원의 메시지를 남겨주세요 💌⠀하나금융그룹이 수험생 여러분을진심으로 응원합니다 👍🍀⠀#수험생여러분_힘내세요 #하나금융그룹#수능대박 #응원합니다 #대학수학능력시험 #2023수능 #수능 #손흥민
103,"⠀#소방관아빠의편지 #시간을되돌린다해도​⠀”시간을 되돌린다 해도, 아빠는 같은 선택을 했을 거야“​⠀다른 사람을 지키기 위해 본인을 희생한소방관 분들의 숭고한 정신을 잊지 않기 위해​⠀하나금융그룹과 청소년그루터기재단이 순직•공상 소방관 청소년 자녀들의흔들림 없는 성장을 지원하며 곁에서 함께 하겠습니다.​⠀​⠀[🎁#이벤트]하나금융그룹 유튜브 채널 하나TV에서풀버전 영상을 시청하고, 영상 댓글로 ”세상에서 가장 멋지고 용감한“ 소방관 분들을 향한 응원과 격려의 메시지를 남겨주세요!👉풀버전보기https://youtu.be/uklqc8rcSYw (프로필링크 클릭)⠀응원을 남겨주신 분들 중 추첨을 통해 30분께 선물을 드립니다.⠀* 기간: ~2022년 11월 30일(수)까지* 당첨자발표: 2022년 12월 7일(수) 예정, 하나금융그룹 유튜브 커뮤니티 탭* 경품 - 뚜레쥬르 케익 교환권 (5명)  - 교촌치킨 반반순살R웨지감자세트 (10명) - 스타벅스 아메리카노 Tall (15명)※ 본 이벤트는 하나금융그룹 유튜브에서 참여 가능합니다.⠀※ 경품은 사전 공지없이 변경될 수 있습니다.​※ 당첨자 안내 후, 당첨자의 미회신으로 수령정보 확인이 어려울 경우 당첨에서 제외될 수 있습니다. ​※ 동일인이 여러 계정으로 중복 당첨이 확인될 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다. ​______________________​⠀함께 성장하며 행복을 나누는 금융하나금융그룹"
104,"​#대전하나시티즌 #K리그1승격 #축하이벤트 ​⚽대전하나시티즌 K리그1 승격⚽​2020년 1월 부터 하나금융그룹과한 가족이 되어 새롭게 출발한 대전하나시티즌!​팬 여러분들의 뜨거운 응원에 힘입어""K리그1 승격""을 이뤄냈습니다.🏆앞으로 K리그1에서의 멋진 활약을 기대해주세요!👉K리그1 승격! 그 감동의 순간 영상 보기https://youtu.be/I2KR2ile_JI (프로필 링크 클릭)[#EVENT]승격을 위해 한마음으로 응원해주신팬 여러분을 위해 감사이벤트를 준비했습니다! ✔️ 참여방법: 1. 본 축하이벤트 게시물을 '좋아요' 한다.2. 댓글에 K리그1 승격을 이뤄낸 대전하나시티즌​ ​ ​ ​ 선수들에게 전하는 축하 메시지를 남긴다.(**하나금융그룹 인스타그램(@hanafn.official) 팔로우 필수**)✔️ 기간: '22. 11. 14(월) ~ 11. 25(금) ✔️ 발표: '22. 11. 30(수) 예정 / 본 게시물 댓글&DM✔️ 경품:  ​ ​ ​ ​ ​ ① 대전하나시티즌 선수 싸인 축구화 (1명) ​ ​ ​ ​ ​ ② 대전하나시티즌 선수 싸인 의류 (5명) ​ ​ ​ ​ ​ ③ 대전하나시티즌 선수 싸인 축구공 (5명) ​ ​ ​ ​ ​ ④ 스타벅스 카페 아메리카노T (30명)​앞으로도 @daejeon_hana 대전하나시티즌에더욱 뜨거운 응원 부탁드립니다. 😘​[유의사항]※ 경품은 사전 공지없이 변경될 수 있습니다.※ 당첨자 안내 후, 당첨자의 미회신으로 수령정보 확인이 어려울 경우 당첨에서 제외될 수 있습니다. ※ 동일인이 여러 계정으로 중복 당첨이 확인될 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다. ※ 당첨자의 부주의로 발송된 경품을 수령하지 못한 경우, 재발송은 불가합니다.※ 축구화, 의류, 축구공의 경우 당첨 시 경품배송을 위한 개인정보를 요청드릴 수 있습니다.​#대전하나시티즌_팬여러분_감사합니다#하나금융그룹 #대전하나시티즌 #K리그1승격 #K리그 #축구 #승격 #감사이벤트 #이벤트"
105,"💖​하나로 연결되는 모두의 나눔과 행복💖​​<2022 모두하나데이 캠페인 | 11.11~1.11>올해로 12번째를 맞은하나금융그룹의 나눔 캠페인 '모두하나데이’​더 많은 곳에 따뜻한 손길이 퍼져나갈 수 있도록,여러분도 함께 동참해 주세요! ──────────────────​✅️ 하나로 연결되는 모두의 기부 캠페인​집에서 잠자고 있는 아동도서, 의류, 장난감(인형포함)을 기부해 주세요.* 참여기간: 2022.11.11(금) ~ 12.11(일)* 참여방법 👉하나원큐앱 실행 > 이벤트 > '하나로 연결되는 모두의 기부 캠페인' 배너 클릭 (https://bit.ly/3DUo6Fv) 하단의 '기부접수' 필수등록* 기부가능 물품: 아동도서/의류/장난감(인형포함)* 기부불가 물품: 사용이 어려운 손상 및 오염물품은 기부불가1. 아동도서: 2008년 이전 출판된 전공서적, 잡지, 문제집2. 의류: 수선이나 세탁이 필요한 옷, 속옷, 유니폼, 교복, 단복3. 장난감(인형포함): 파손된 것, 수리가 필요한 것[#참여이벤트]✔️하나. 하나원큐를 통해 기부에 참여한 전체 참여자중 추첨, 커피쿠폰 증정!(111명)✔️두울. 인증샷 이벤트(111명)1.하나원큐에서 기부 참여후, 2.참여 인증샷과 아래의 필수해시태그를 함께 적어 개인 인스타그램 계정에 업로드3.본 게시물에 기부캠페인 ""참여완료"" 댓글 달기👉필수해시태그: #모두하나데이 #하나금융그룹 ※ 인스타그램 인증샷 업로드시 전체공개 필수* 참여기간: 2022.11.11(금) ~ 12.11(일)* 당첨자발표: 2022. 12. 30(금) 예정* 경품: 스타벅스 카페 아메리카노T────────────────────​✅️ 사랑의 김장 나눔건강한 먹거리를 전하고 싶은 마음을 담아임직원이 직접 김장 김치를 담가 취약계층에게 전달합니다. ────────────────────​모두하나데이 기간동안 펼쳐질 나눔활동에여러분도 함께 해주세요!함께 성장하며행복을 나누는 금융하나금융그룹#하나금융그룹 #하나은행 #모두하나데이 #ESG#나눔 #사랑의김장나눔 #김장나눔 #기부 #기부캠페인 #캠페인"
