,content
12,몰리와 산으로 바다로~ 노는 건 내가 1등!🌴🏆🌊#신한프렌즈 #신한프렌즈티셔츠 #너신한프렌즈T야 #커스터마이징콘테스트 #신한은행 #신한SOL #신한 #꿀같은휴가가자 #티셔츠 #커스터마이징 #커스텀 #휴가 #여행 #패션 #OOTD #반팔 #반팔추천 #코디 #룩북 #캐릭터스타그램#코디이벤트 #포즈이벤트
13,"NGÂN HÀNG SHINHAN VIỆT NAM: 30 NĂM – 1 CHẶNG ĐƯỜNG!💙 Tháng 8/2023 chính thức đánh dấu hành trình tròn 30 năm phục vụ hàng triệu khách hàng của Ngân hàng Shinhan trên khắp mọi miền đất nước.💙 Chúng tôi trân trọng gửi lời cảm ơn sâu sắc đến Quý khách hàng đã và đang đồng hành cùng Ngân hàng Shinhan trên chặng đường 30 năm qua. Sự tin tưởng và gắn kết bền vững của Quý khách hàng là bệ phóng để chúng tôi tiếp tục tạo nên những bước đột phá trong hành trình xây dựng nền tảng tài chính thân thiện hơn, sáng tạo hơn và bảo mật hơn trong tương lai.💙 30 năm có Shinhan - 30 năm vui dễ dàng!#NganhangShinhan----SHINHAN BANK VIETNAM: 30 YEARS - ONE JOURNEY!💙 This August has officially marked the journey of 30 years that Shinhan Bank have served millions of customers nationwide💙 Shinhan Bank Vietnam would like to express our deep gratitude to Customers for your support on this 30-year journey. The trust and long-term companionship of Customers make a foundation for us to continue making achievements towards creating a more friendly, more secure and more creative financial products and services.💙 30 years - Shinhan always beside you, add smile to your life!#ShinhanBank #Shinhan #신한은행"
14,"NGÂN HÀNG SHINHAN VIỆT NAM: 30 NĂM – 1 CHẶNG ĐƯỜNG!💙 Tháng 8/2023 chính thức đánh dấu hành trình tròn 30 năm phục vụ hàng triệu khách hàng của Ngân hàng Shinhan trên khắp mọi miền đất nước.💙 Chúng tôi trân trọng gửi lời cảm ơn sâu sắc đến Quý khách hàng đã và đang đồng hành cùng Ngân hàng Shinhan trên chặng đường 30 năm qua. Sự tin tưởng và gắn kết bền vững của Quý khách hàng là bệ phóng để chúng tôi tiếp tục tạo nên những bước đột phá trong hành trình xây dựng nền tảng tài chính thân thiện hơn, sáng tạo hơn và bảo mật hơn trong tương lai.💙 30 năm có Shinhan - 30 năm vui dễ dàng!#NganhangShinhan----SHINHAN BANK VIETNAM: 30 YEARS - ONE JOURNEY!💙 This August has officially marked the journey of 30 years that Shinhan Bank have served millions of customers nationwide💙 Shinhan Bank Vietnam would like to express our deep gratitude to Customers for your support on this 30-year journey. The trust and long-term companionship of Customers make a foundation for us to continue making achievements towards creating a more friendly, more secure and more creative financial products and services.💙 30 years - Shinhan always beside you, add smile to your life!#ShinhanBank #Shinhan #신한은행"
15,조선왕릉원정대 5박 6일동안 40기의 조선왕릉을 돌면서 역사를 배울 수 있는 좋은 기회!!잘 다녀오겠습니다 !!#조선왕릉문화제 #걸어서왕릉속으로 #조선왕릉원정대 #문화재청궁능유적본부 # 한국문화재재단 #신한은행
16,-청량한 하늘과 함께한 여름🌞뜨겁게 불태웠다♨️.....#신한프렌즈 #신한프렌즈티셔츠 #너신한프렌즈T야 #오오티디 #ootd #신한은행 #shinhanbank #쏠 #몰리 #플리 #like #daily
17,신한은행 집들이! 커피는 여농티비가 쏜다😉여농티비 앰버서더 김지영도 많이 사랑해주세요😘#여농티비 #앰버서더 #김지영 #신한은행 #집들이
18,뭐야~ 신한은행에서 받은 티샤쓰자나-🕺세상에 이거 너무 예뻐서 완전히 기절이야?🤘🤘평소에도 입고 다니기 너무 좋을 것 같이 디자인!✨솔직히 커스텀할 이미지가 너무 예뻤다 진짜로🙆‍♂️요번 여름 휴가에는 요 티셔츠로 찢어준다 세상에!🙋‍♂️...#신한프렌즈 #신한프렌즈티셔츠 #너신한프렌즈T야 #신한 #신한쏠 #신한SOL #신한은행 #티셔츠
19,"NGÂN HÀNG SHINHAN VIỆT NAM: 30 NĂM – 1 CHẶNG ĐƯỜNG!💙 Tháng 8/2023 chính thức đánh dấu hành trình tròn 30 năm phục vụ hàng triệu khách hàng của Ngân hàng Shinhan trên khắp mọi miền đất nước.💙 Chúng tôi trân trọng gửi lời cảm ơn sâu sắc đến Quý khách hàng đã và đang đồng hành cùng Ngân hàng Shinhan trên chặng đường 30 năm qua. Sự tin tưởng và gắn kết bền vững của Quý khách hàng là bệ phóng để chúng tôi tiếp tục tạo nên những bước đột phá trong hành trình xây dựng nền tảng tài chính thân thiện hơn, sáng tạo hơn và bảo mật hơn trong tương lai.💙 30 năm có Shinhan - 30 năm vui dễ dàng!#NganhangShinhan----SHINHAN BANK VIETNAM: 30 YEARS - ONE JOURNEY!💙 This August has officially marked the journey of 30 years that Shinhan Bank have served millions of customers nationwide💙 Shinhan Bank Vietnam would like to express our deep gratitude to Customers for your support on this 30-year journey. The trust and long-term companionship of Customers make a foundation for us to continue making achievements towards creating a more friendly, more secure and more creative financial products and services.💙 30 years - Shinhan always beside you, add smile to your life!#ShinhanBank #Shinhan #신한은행"
20,"NGÂN HÀNG SHINHAN VIỆT NAM: 30 NĂM – 1 CHẶNG ĐƯỜNG!💙 Tháng 8/2023 chính thức đánh dấu hành trình tròn 30 năm phục vụ hàng triệu khách hàng của Ngân hàng Shinhan trên khắp mọi miền đất nước.💙 Chúng tôi trân trọng gửi lời cảm ơn sâu sắc đến Quý khách hàng đã và đang đồng hành cùng Ngân hàng Shinhan trên chặng đường 30 năm qua. Sự tin tưởng và gắn kết bền vững của Quý khách hàng là bệ phóng để chúng tôi tiếp tục tạo nên những bước đột phá trong hành trình xây dựng nền tảng tài chính thân thiện hơn, sáng tạo hơn và bảo mật hơn trong tương lai.💙 30 năm có Shinhan - 30 năm vui dễ dàng!#NganhangShinhan----SHINHAN BANK VIETNAM: 30 YEARS - ONE JOURNEY!💙 This August has officially marked the journey of 30 years that Shinhan Bank have served millions of customers nationwide💙 Shinhan Bank Vietnam would like to express our deep gratitude to Customers for your support on this 30-year journey. The trust and long-term companionship of Customers make a foundation for us to continue making achievements towards creating a more friendly, more secure and more creative financial products and services.💙 30 years - Shinhan always beside you, add smile to your life!#ShinhanBank #Shinhan #신한은행"
21,"NGÂN HÀNG SHINHAN VIỆT NAM: 30 NĂM – 1 CHẶNG ĐƯỜNG!💙 Tháng 8/2023 chính thức đánh dấu hành trình tròn 30 năm phục vụ hàng triệu khách hàng của Ngân hàng Shinhan trên khắp mọi miền đất nước.💙 Chúng tôi trân trọng gửi lời cảm ơn sâu sắc đến Quý khách hàng đã và đang đồng hành cùng Ngân hàng Shinhan trên chặng đường 30 năm qua. Sự tin tưởng và gắn kết bền vững của Quý khách hàng là bệ phóng để chúng tôi tiếp tục tạo nên những bước đột phá trong hành trình xây dựng nền tảng tài chính thân thiện hơn, sáng tạo hơn và bảo mật hơn trong tương lai.💙 30 năm có Shinhan - 30 năm vui dễ dàng!#NganhangShinhan----SHINHAN BANK VIETNAM: 30 YEARS - ONE JOURNEY!💙 This August has officially marked the journey of 30 years that Shinhan Bank have served millions of customers nationwide💙 Shinhan Bank Vietnam would like to express our deep gratitude to Customers for your support on this 30-year journey. The trust and long-term companionship of Customers make a foundation for us to continue making achievements towards creating a more friendly, more secure and more creative financial products and services.💙 30 years - Shinhan always beside you, add smile to your life!#ShinhanBank #Shinhan #신한은행"
22,은행들이 최근 수 년간 역대 최고의 순이익을 내고 있는 가운데도 되레 만 30대 젊은 은행원들이 희망퇴직을 통해 스스로 은행을 떠나고 있다. 은행권 실적이 늘어나면서 희망퇴직 조건이 좋아진데다 ‘인생 2막’ 설계를 서두르는 사회적 분위기·파이어 족(조기은퇴 희망자) 증가 등이 주요 요인으로 거론된다. 17일 은행권 등에 따르면 최근 신한은행 노사는 희망퇴직 조건 등에 합의하고 빠르면 이번 주말(영업일 기준)부터 다음 주 초까지 3~4일 정도 희망퇴직 신청을 받을 계획이다. 신한은행이 연초 희망퇴직과 별도로 하반기에 희망퇴직을 진행하는 것은 2021년(상반기 224명·하반기 133명) 이후 2년 만이다. 대상은 부지점장 이하 모든 직급의 근속연수 15년 이상이거나 1983년생 이전 출생 직원이다. 올해 생일이 지났다면 만 40세고 생일이 지나지 않았다면 만 39세 직원까지 희망퇴직을 할 수 있다. 만 39세는 신한은행 역대 희망퇴직 대상 연령 기준 가운데 가장 낮은 연령이다. 앞서 올 1월 실시된 희망퇴직에서 최고 출생 연도 조건이 1978년이었던 것과 비교하면 불과 7달 만에 회망퇴직 대상 나이가 5년이나 어려졌다. 또 이번 희망퇴직 대상에서는 연령이 높은 ‘지점장’ 직급이 제외됐다. ‘지점장 제외 희망퇴직’도 신한은행 역사상 최초다. 최종적으로 희망퇴직 대상자로 선정되면 연차와 직급에 따라 9∼36개월 치 월평균 급여를 특별퇴직금으로 받고 오는 31일 신한은행을 떠난다. 하나은행은 신한은행보다 앞선 7월 말 이미 하반기 희망퇴직을 단행했다. 만 15년 이상 근무한 만 40세 이상 일반 직원을 대상으로 6월16일부터 같은 달 20일까지 신청을 받았다. 그 결과 최종적으로 60명이 7월31일 자로 하나은행을 떠난다. 1968∼1971년생은 28개월 치 월 평균 급여를 수령하고 1972년생 이후 출생자는 연령에 따라 최대 24개월 치 월평균 급여를 특별퇴직금으로 받는다. 자녀학자금과 의료비 및 재취업·전직 지원금도 지급됐다. 이에 대해 하나은행은 올 1월 희망퇴직 때보다는 다소 퇴직 조건이 나빠졌다고 밝혔다. 1월에는 특별퇴직금으로 최대 36개월 치가 월 평균 급여가 지급됐고 기타 지원 금액도 더 많았다. 이는 올 초 한참 거셌던 ‘이자 장사’ ‘돈 잔치’ 비난 여론의 영향이라는 분석이 나온다. 이처럼 시중은행들이 만 39세와 40세의 젊은 직원까지 포함해 1년에 두 번이나 희망퇴직을 진행하는 데는 복합적인 요인이 있다. 우선 은행 입장에서는 디지털 전환이 갈수록 가속화되면서 오프라인 점포가 줄어드는 상황에서 은행원 수를 줄이는 것은 필수적이다.#스카이데일리 #카드뉴스 #은행 #은행희망퇴직 #30대희망퇴직 #신한은행 #하나은행 #특별퇴직금 #경제뉴스
23,#신한은행 #신한COOL팁
24,#베트남 7군#프미흥 #쌀국수 집에서 저녁#주변 둘러보니 눈에 띄는#한글 간판#반갑다#우리은행#신한은행#GS25#롯데리아#파리바게뜨 #뚜레쥬르 #먹스타그램
25,#신한프렌즈#신한프렌즈티셔츠#너신한프렌즈T야 여름철 캠핑🏕🏖을 모티브로 만든신한프렌즈 커스터마이징 티셔츠신한프렌즈 커스터마이징 티셔츠입고 특별한 여름 보내기💙 @shinhanbank_official #좋아요반사 #좋반 #칼좋반 #좋아요그램 #follow4like #fff #likeforlikes #like4follow #좋아요 #티셔츠제작 #신한은행
26,#신한프렌즈#신한프렌즈티셔츠#너신한프렌즈T야 여름철 캠핑🏕🏖을 모티브로 만든신한프렌즈 커스터마이징 티셔츠신한프렌즈 커스터마이징 티셔츠입고 특별한 여름 보내기💙 @shinhanbank_official #좋아요반사 #좋반 #칼좋반 #좋아요그램 #follow4like #fff #likeforlikes #like4follow #좋아요 #티셔츠제작 #신한은행 #ootd #ootdfashion
27,"인스타를 다시 하게 된 이유..,!! 5박 6일 동안 40기의 조선왕릉들을 방문하면서 역사를 배우고 가치를 알릴 수 있는 조선왕릉원정대로 뽑히게 됐다👊 아자아자.~~...#2023조선왕릉문화제 #걸어서왕릉속으로 #조선왕릉원정대 #문화재청궁능유적본부 #한국문화재재단 #신한은행"
28,"2023 신한은행 SOL KBO리그 8.17""마의 목요일, 야구로 이겨내자!!!""한화 vs NC 창원NC파크 경기이게 가능한가 싶을정도로 팽팽했던 두 팀오늘도 은근히 기대가 됩니다시즌 첫 선발로 나오는 한화 신인 김서현팀의 연패를 끊으려하는 NC 신민혁선수들이 마운드로 향하는데위닝시리즈로 강한 날개짓을 보여주느냐1승을 거두며 백중세로 마무리를 짓느나MBC SPORTS+를 통해 확인해주세요KT vs 두산 잠실야구장 경기위닝시리즈와 4연승으로 달려가고있는 KT자칫 잘못하면 7위까지 떨어질 위기인 두산벤자민과 브랜든, 외인들을 내세우며이번 시리즈를 끝까지 불태우려고 합니다연승을 이어가며 2위로 올라갈지아니면 구사일생으로 5위를 지켜낼지KBSN SPORTS와 함께 응원해주세요LG vs 삼성 대구라이온즈파크 경기1승씩 주고받으면서 치열했던 전자매치이번 승부의 승자가 오늘 결정이 될텐데주춤해도 여전한 외인 에이스 LG 켈리조금씩 상승기류를 타고있는 삼성 백정현1위의 위엄을 2연승으로 보여줄지하위권의 반란으로 위닝시리즈를 가져갈지SPOTV2를 통해 시청해주세요SSG vs 롯데 사직야구장 경기예상외로 도전자 롯데가 2게임을 이기며3연승과 위닝시리즈를 기록하고 있죠내친김에 스윕까지 하면서다시 5강으로 진입하고자 불펜자원 심재민을오늘 선발 투수로 올립니다반면 연패에 빠지며 1위와 멀어지고2위 자리까지 빼앗길 위기에 놓인 SSG절치부심하며 준비한 오원석을선발 투수 명단에 이름을 올렸습니다만날때마다 치열한 유통더비의 이번 시리즈SPOTV와 끝까지 불태워주세요키움 vs KIA 광주챔피언스필드 경기1승 1승이 누구보다 간절한 두 팀매 경기 필사적으로 뛰고 있습니다아픔을 뒤로하고 하나씩 만들어가려는 키움점차 성장하는 9억의 사나이 장재영0.5게임차를 지우고 5위를 노리는 KIA복귀 후 재기를 펼치고있는 파노니를다이아몬드 중심에 세우는데이들이 보여 줄 멋진 도전의 결말SBS sports에서 확인해주시고이제 막 플레이볼을 선언하며1회를 진행중이니까 빨리 입장하셔서응원단장님,장내 아나운서님,치어리더분들과목이 쉬도록 열정적으로 응원해주셨으면 좋겠습니다원없이 던지고 치고 달려라, KBO리그#2023 #신한은행 #KBO리그 #8월17일#창원NC파크 #NC다이노스 #한화이글스#잠실야구장 #두산베어스 #KTwiz#대구라이온즈파크 #삼성라이온즈 #LG트윈스#사직야구장 #롯데자이언츠 #SSG랜더스#광주챔피언스필드 #KIA타이거즈 #키움히어로즈#18시30분경기 #동시스타트 #현재진행중#한계점에다다르는목요일 #멋진야구와함께#속시원하게즐겨봅시다 #KBO리그홍보"
29,"그동안 가장 사랑받았던 땡데이 혜택을🧡더 큰 할인🧡으로 준비했어요🎉8월 22일 화요일 단 하루만!모든 치킨 _____원 할인🫶잠깐! 땡겨요 카카오 채널 추가하면,가장 먼저 할인 소식을 받아볼 수 있어요🖤#땡데이 #땡겨요 #이벤트그램 #앱테크 #핫딜 #신한은행 #신한 #배달앱 #이벤트 #배달음식 #치킨 #치킨추천 #치킨맛집 #치킨할인 #치킨쿠폰 #치킨이벤트 #할인쿠폰 #할인이벤트 #쿠폰 #쿠폰이벤트 #굽네 #bhc #교촌치킨 #bbq #kfc #멕시카나치킨 #호식이두마리치킨"
30,"📷조선왕릉원정대 오리엔테이션 현장📷⠀지난 8월 12일, 드디어!최종 선발된 40인의 조선왕릉원정대를 만났습니다.🤗⠀조선왕릉원정대 오리엔테이션에서는10월에 있을 조선왕릉문화제의 프로그램,원정대의 일정과 미션이 공개되었고,능에 대한 미니강연으로 사전지식까지 쌓을 수 있었습니다.⠀무엇보다 궁금했던 5박 6일간 함께할 팀원들을 만나는 시간도 가졌답니다!⠀원정대원들의 눈빛과 에너지를 직접 보고 나니이들과 함께 걸을 조선왕릉길이 기다려 집니다.☺⠀조선왕릉원정대는 8월 22일 화요일,구리 동구릉의 건원릉에서 출발합니다.곧 다시 만나요, 조선왕릉원정대!!⠀#문화재청 #궁능유적본부 #한국문화재재단 #2023조선왕릉문화제 #조선왕릉원정대 #신한은행 #새로보다_조선왕릉 #유네스코 #세계문화유산 #대외활동 #콘텐츠 #트레킹 #조선왕릉길 #조선왕릉 #동구릉 #홍유릉 #사릉 #광릉 #장릉 #영릉 #융건릉 #헌인릉 #태강릉 #의릉 #정릉 #온릉 #삼릉 #서삼릉 #서오릉 #선정릉"
31,".매주 목요일!재밌는 넌센스 그림퀴즈 풀면서금융상식 배우고, 스타벅스 커피쿠폰도 받자!저희 팽성농협이 그린 그림을 보고 떠오르는 금융용어를댓글에 달아주세요.정답을 맞추신 팽성농협 팔로워분들 중매주 10분을 추첨하여 스타벅스 쿠폰을 드립니다!❤️정답자 발표는 다음주 목요일 다른 퀴즈와 함께 돌아옵니다 :)[14회차 문제 정답 : ETF]ETF는 Exchange Traded Fund의 약자로우리나라식 표현은 '상장지수펀드'입니다!개인의 거래가 자유로운 주식과는 다르게다소 거래가 어려운 펀드를 조금 더 편리하게 운용할 수 있도록상장 종목들을 구성하여 만든 펀드가 바로 ETF에요어차피 상장 종목들로 거래를 하는 거라면왜 펀드를 이용하는 걸까요?바로 위험을 최소화 하기 위한'해지(Hedge)' 효과를 얻기 위함입니다!즉, 증권사에서 상장 종목이라는 계란을여러개 모아 담은 계란바구니가 바로 ETF인거죠그렇다면 ETF의 장점은 무엇일까요?1️⃣ 여러 주식을 일일이 사고파는 번거로움 없이 자동으로 분산 투자가 가능합니다!2️⃣ 낮은 운용보수, 부과되지 않는 선취수수료와 증권거래세로 거래비용이 낮습니다!3️⃣ 기존 주식거래계좌를 통해 실시간으로 주식 1주부터 매매가 가능합니다!4️⃣ ETF는 구성하는 주식의 내역과 순자산가치를 매일 공시하기에 상품 투명성이 높습니다!반대로 단점도 존재하는데요1️⃣ 일시적으로 주가와 ETF가 차이 나는 문제가 있어 이로 인한 손실이 발생할 수 있습니다2️⃣ 기초자산 구성 비율을 충실히 따라가기에 종목 선정을 마음대로 할 수 없습니다3️⃣ 펀드와 비교하여 낮은 거래비용이 발생하지만 감사 비용, 상장 비용 등의 기타 수수료가 있어 확인을 해야 합니다🐝성공적인 투자를 위한 ETF Tip🍯1️⃣ 운용규모가 클수록 추적오차는 낮아요2️⃣ 표면상 보이는 운용보수 + 총보수가 낮을수록 좋아요3️⃣ 해외 투자의 경우, 환율 변동에 따라 전략을 다르게 해야 해요1)환율이 낮으면 ➡️ 환율에 노출시켜 환차익을 누릴 수 있는 언헷지형(UH)2)환율이 높으면 ➡️ 환율 변동의 위험을 없애기 위해 환율응 고정시키는 헷지형(H)물론 주식과 펀드는 일반적인 저축 상품보다 수익률이 높지만그만큼 위험도가 높아지는 만큼 더욱 신중한 결정이 필요합니다!반드시 본인의 투자 성향을 파악해보시고위험을 감수하기보단 안전한 수익률을 가져가고 싶은 분들께서는정기적금과 정기예금을 이용한 재테크를 추천드립니다!저희 팽성농협에서는 고객님들께서 만족하실 수 있는 금리로다양한 저축 상품을 제공해드리고 있습니다!특히 NH스마트뱅킹을 통해 비대면으로도 가능한 저축상품이 있으니많은 관심 부탁드리겠습니다 :)🎉🎉14회차 당첨자는 태그를 확인해주세요!당첨자께는 개별연락 드립니다(쪽지, DM 등)🎉🎉#블로그@열무지금까지 14회차 문제였던 'EFT'에 대한 이야기였구요!15회차 문제 이미지를 보시고 댓글에 정답을 남겨주세요!저희 팽성농협 인스타그램 공식 계정 팔로우,카카오채널 채널을 추가하고 업로드 된 퀴즈에 댓글 달면​당첨확률 up! uP! UP!카카오채널, 네이버 블로그도 많은 이용 부탁드립니다 :)🟩팽성농협 네이버 블로그https://blog.naver.com/nh205029-1🟥팽성농협 유튜브 채널https://www.youtube.com/@user-vb2tl2qj5t🟨팽성농협 카카오채널http://pf.kakao.com/_WxnPvb[팽성농협 본점]🗺️ 경기도 평택시 팽성읍 동서촌로 90📱 031-691-8831[팽성농협 안송지점]🗺️ 경기 평택시 팽성읍 안정순환로104번길 35 파라디아 오피스텔 1층 107호📱 031-691-8836[팽성농협 본정지점]🗺️ 경기 평택시 팽성읍 본정2길 23📱 031-691-7402"
32,"𝒔𝒐𝒅𝒂𝒎𝒔𝒂𝒆𝒈𝒊𝒎ꯁ@honey_sowon0512#첫줄생략 소원이 100일기념 통장 만들고 왔어요.백일은 토요일인데 금요일은 은행에 사람이 많을 것 같아서 오늘 갔다 왔어요탯줄도장 만든지도 좀 됐는데 미루고 미루다 100일을 핑계(?)로ㅋㅋㅋㅋ😅저희 어렸을 땐 용돈이나 세뱃돈 받고 엄마아빠한테 맡기면 그 돈이 어디로 갔는지 찾을 수가 없었잖아요😂저는 그랬지만 소원이는 소원이가 받는 세뱃돈,용돈들 잘 모아주고 싶어서 이렇게 통장을 만들게 되었어요.입출금통장, 청약, 적금2개까지..!한번에 이렇게 많은 통장을 만들어본 건 처음이라 몰랐는데 시간이 꽤나 걸리더라구요..! 그래도 어플로 미리 할 수 있는건 신청하고 가서 그나마 빨리 진행된 것 같아요!갑자기 적지 않은 금액이 자동이체로 빠져나가게 되었지만 어차피 소원이 돈이다 생각하려구요!😁바우처까지 야무지게 받았으니 앞으로도 엄마아빠가 돈 열심히 벌어서 소원이 통장에 차곡차곡 모아줄게💛#인생98일차👶🏻 #토끼띠아기 #토끼띠딸 #5월생아기 #토끼띠맘 #딸스타그램 #육아 #육아기록 #육아소통 #육아스타그램 #일상 #daily #탯줄도장 #소담새김 #예뻐서만족💕 #신한은행 #아기통장 #아기청약 #아기적금통장 #바우처도받고 #든든하다든든해 #소원이와함께하는_엄마의하루ᰔ‐‐-------------------소원이 건물주가자가장❣️ 부자되는 그날까지 소원이를 응원 빠샤😘•백석•태슬 : 연주황•탯줄꾸미기 : 파츠도장 제작, 단체도장, 주문방법 등무엇이든지 궁금한 사항은 문의주세요ෆ친절한 상담드릴게요 🫶🏻* 카카오톡 플러스 친구 : 소담새김* 인스타 DM : @sodam_saegim"
